City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
347,yangjiang,32,CN,1536035163,100,21.85,111.96,83.16,7.76
348,sao filipe,44,CV,1536034934,99,14.9,-24.5,77.58,12.24
349,ashtian,0,IR,1536033600,61,34.52,50.0,60.8,2.24
350,makubetsu,75,JP,1536033600,93,42.84,143.34,62.6,5.82
351,gimli,20,CA,1536035165,42,50.63,-96.99,72.63,20.07
352,kaseda,75,JP,1536033600,94,31.42,130.32,80.6,12.75
353,oruro,0,BO,1536035165,81,-17.97,-67.11,36.63,12.57
354,guerrero negro,0,MX,1536034981,79,27.97,-114.04,70.65,7.87
355,severo-kurilsk,12,RU,1536034953,91,50.68,156.12,54.18,14.36
356,lasa,20,CY,1536033600,94,34.92,32.53,77.0,6.93
357,shimoda,75,JP,1536033600,83,34.7,138.93,84.2,27.51
358,marsh harbour,92,BS,1536035166,95,26.54,-77.06,84.78,17.83
359,christchurch,92,NZ,1536033600,66,-43.53,172.64,51.8,16.11
360,shingu,75,JP,1536033600,100,33.72,135.99,75.2,43.62
361,torbay,90,CA,1536030000,77,47.66,-52.73,60.8,14.99
362,paranaiba,0,BR,1536035167,95,-19.68,-51.19,57.69,3.29
363,matara,20,PE,1536034889,89,-13.74,-72.9,35.73,2.06
364,kholodnyy,92,RU,1536035168,98,62.72,147.95,44.64,3.74
365,quarai,0,BR,1536035168,93,-30.39,-56.45,52.92,7.43
366,egvekinot,8,RU,1536034814,66,66.32,-179.17,52.65,10.45
367,aykhal,32,RU,1536035169,66,65.95,111.51,38.7,7.31
368,gweru,0,ZW,1536035169,47,-19.46,29.82,54.0,6.76
369,ihiala,92,NG,1536035169,100,5.86,6.86,71.55,3.96
370,cotonou,40,BJ,1536030000,88,6.37,2.43,78.8,8.05
371,den helder,75,NL,1536034320,93,52.96,4.76,66.2,5.82
372,sur,0,OM,1536035170,88,22.57,59.53,82.98,7.2
373,cap malheureux,40,MU,1536033600,83,-19.98,57.61,73.4,16.11
374,vestmannaeyjar,100,IS,1536034834,100,63.44,-20.27,50.22,16.37
375,dingle,100,PH,1536034970,96,11.0,122.67,76.95,10.56
376,ginir,0,ET,1536035171,81,7.14,40.71,57.51,6.87
377,fukue,75,JP,1536033600,88,35.03,136.69,84.2,47.2
378,sheridan,75,US,1536033480,51,39.65,-105.03,68.0,6.93
379,sechura,0,PE,1536035172,87,-5.56,-80.82,66.42,9.66
380,lagoa,40,PT,1536033600,88,37.14,-8.45,68.0,4.7
381,las matas de farfan,12,DO,1536035173,89,18.87,-71.52,70.2,2.28
382,kijang,40,KR,1536033600,65,35.24,129.21,78.8,12.75
